data_previsao;nome;valor;data_rodada;cenario
2001-08-22;boa_esperanca;0;2001-03-08;historico
2001-08-23;boa_esperanca;0;2001-03-08;historico
2001-08-24;boa_esperanca;0;2001-03-08;historico
2001-08-25;boa_esperanca;0;2001-03-08;historico
2001-08-26;boa_esperanca;0;2001-03-08;historico
2001-08-27;boa_esperanca;0;2001-03-08;historico
2001-08-28;boa_esperanca;0;2001-03-08;historico
2001-08-29;boa_esperanca;0;2001-03-08;historico
2001-08-30;boa_esperanca;0;2001-03-08;historico
2001-08-31;boa_esperanca;0;2001-03-08;historico
2001-09-01;boa_esperanca;0;2001-03-08;historico
2001-09-02;boa_esperanca;0;2001-03-08;historico
2001-09-03;boa_esperanca;0;2001-03-08;historico
2001-09-04;boa_esperanca;0;2001-03-08;historico
2001-09-05;boa_esperanca;0;2001-03-08;historico
2001-09-06;boa_esperanca;0;2001-03-08;historico
2001-09-07;boa_esperanca;0;2001-03-08;historico
2001-09-08;boa_esperanca;0;2001-03-08;historico
2001-09-09;boa_esperanca;0;2001-03-08;historico
2001-09-10;boa_esperanca;0;2001-03-08;historico
2001-09-11;boa_esperanca;0;2001-03-08;historico
2001-03-02;boa_esperanca;3;2001-04-08;historico
2001-03-03;boa_esperanca;0.7;2001-04-08;historico
2001-03-04;boa_esperanca;1;2001-04-08;historico
2001-03-05;boa_esperanca;0.3;2001-04-08;historico
2001-03-06;boa_esperanca;1.8;2001-04-08;historico
2001-03-07;boa_esperanca;4.1;2001-04-08;historico
2001-03-08;boa_esperanca;0.4;2001-04-08;historico
2001-03-09;boa_esperanca;0;2001-04-08;historico
2001-03-10;boa_esperanca;4.5;2001-04-08;historico
2001-03-11;boa_esperanca;17.8;2001-04-08;historico
2001-03-12;boa_esperanca;33.1;2001-04-08;historico
2001-03-13;boa_esperanca;15.2;2001-04-08;historico
2001-03-14;boa_esperanca;29.7;2001-04-08;historico
2001-03-15;boa_esperanca;7.7;2001-04-08;historico
2001-03-16;boa_esperanca;11.4;2001-04-08;historico
2001-03-17;boa_esperanca;6;2001-04-08;historico
2001-03-18;boa_esperanca;1.7;2001-04-08;historico
2001-03-19;boa_esperanca;1.2;2001-04-08;historico
2001-03-20;boa_esperanca;7;2001-04-08;historico
2001-03-21;boa_esperanca;1.9;2001-04-08;historico
2001-03-22;boa_esperanca;0.2;2001-04-08;historico
2001-03-23;boa_esperanca;0;2001-04-08;historico
2001-03-24;boa_esperanca;0.5;2001-04-08;historico
2001-03-25;boa_esperanca;2.2;2001-04-08;historico
2001-03-26;boa_esperanca;1.1;2001-04-08;historico
2001-03-27;boa_esperanca;4.8;2001-04-08;historico
2001-03-28;boa_esperanca;1.4;2001-04-08;historico
2001-03-29;boa_esperanca;4.2;2001-04-08;historico
2001-03-30;boa_esperanca;2.8;2001-04-08;historico
2001-03-31;boa_esperanca;1.2;2001-04-08;historico
2001-04-01;boa_esperanca;4.2;2001-04-08;historico
2001-04-02;boa_esperanca;0.9;2001-04-08;historico
2001-04-03;boa_esperanca;0.2;2001-04-08;historico
2001-04-04;boa_esperanca;6.7;2001-04-08;historico
2001-04-05;boa_esperanca;0;2001-04-08;historico
2001-04-06;boa_esperanca;0.1;2001-04-08;historico
2001-04-07;boa_esperanca;0;2001-04-08;historico
2001-04-08;boa_esperanca;0.2;2001-04-08;historico
2001-04-09;boa_esperanca;0.6;2001-04-08;historico
2001-04-10;boa_esperanca;0;2001-04-08;historico
2001-04-11;boa_esperanca;0.5;2001-04-08;historico
2001-04-12;boa_esperanca;1.2;2001-04-08;historico
2001-04-13;boa_esperanca;0.8;2001-04-08;historico
2001-04-14;boa_esperanca;0.5;2001-04-08;historico
2001-04-15;boa_esperanca;2.5;2001-04-08;historico
