data_caso;data_assimilacao;nome;variavel;valor
2001-10-08;2001-09-12;boa_esperanca;Qcalc;226.54815773475
2001-10-08;2001-09-13;boa_esperanca;Qcalc;225.459963241165
2001-10-08;2001-09-14;boa_esperanca;Qcalc;224.38817993219
2001-10-08;2001-09-15;boa_esperanca;Qcalc;223.325981068433
2001-10-08;2001-09-16;boa_esperanca;Qcalc;222.276490921635
2001-10-08;2001-09-17;boa_esperanca;Qcalc;221.23950215068
2001-10-08;2001-09-18;boa_esperanca;Qcalc;222.618979873701
2001-10-08;2001-09-19;boa_esperanca;Qcalc;237.652680856198
2001-10-08;2001-09-20;boa_esperanca;Qcalc;240.157058642665
2001-10-08;2001-09-21;boa_esperanca;Qcalc;238.816008663825
2001-10-08;2001-09-22;boa_esperanca;Qcalc;237.467785455798
2001-10-08;2001-09-23;boa_esperanca;Qcalc;236.137260387722
2001-10-08;2001-09-24;boa_esperanca;Qcalc;234.824140253036
2001-10-08;2001-09-25;boa_esperanca;Qcalc;233.528136860795
2001-10-08;2001-09-26;boa_esperanca;Qcalc;232.248966949554
2001-10-08;2001-09-27;boa_esperanca;Qcalc;230.986352102716
2001-10-08;2001-09-28;boa_esperanca;Qcalc;229.74001866535
2001-10-08;2001-09-29;boa_esperanca;Qcalc;228.509697662426
2001-10-08;2001-09-30;boa_esperanca;Qcalc;227.295124718464
2001-10-08;2001-10-01;boa_esperanca;Qcalc;226.096039978554
2001-10-08;2001-10-02;boa_esperanca;Qcalc;224.91218803074
2001-10-08;2001-10-03;boa_esperanca;Qcalc;223.743317829735
2001-10-08;2001-10-04;boa_esperanca;Qcalc;222.589182621945
2001-10-08;2001-10-05;boa_esperanca;Qcalc;221.449539871782
2001-10-08;2001-10-06;boa_esperanca;Qcalc;220.324151189245
2001-10-08;2001-10-07;boa_esperanca;Qcalc;219.212782258741
2001-11-08;2001-10-08;boa_esperanca;Qcalc;230.442084662811
2001-11-08;2001-10-09;boa_esperanca;Qcalc;233.929541648725
2001-11-08;2001-10-10;boa_esperanca;Qcalc;233.10639340458
2001-11-08;2001-10-11;boa_esperanca;Qcalc;232.29104785005
2001-11-08;2001-10-12;boa_esperanca;Qcalc;231.483383512002
2001-11-08;2001-10-13;boa_esperanca;Qcalc;230.683280979198
2001-11-08;2001-10-14;boa_esperanca;Qcalc;229.89062286693
2001-11-08;2001-10-15;boa_esperanca;Qcalc;231.684110907139
2001-11-08;2001-10-16;boa_esperanca;Qcalc;236.04546273821
2001-11-08;2001-10-17;boa_esperanca;Qcalc;252.03732040072
2001-11-08;2001-10-18;boa_esperanca;Qcalc;268.912055685908
2001-11-08;2001-10-19;boa_esperanca;Qcalc;271.390825977633
2001-11-08;2001-10-20;boa_esperanca;Qcalc;270.361371447761
2001-11-08;2001-10-21;boa_esperanca;Qcalc;273.094782112162
2001-11-08;2001-10-22;boa_esperanca;Qcalc;272.537805843163
2001-11-08;2001-10-23;boa_esperanca;Qcalc;277.08668222743
2001-11-08;2001-10-24;boa_esperanca;Qcalc;275.756488591514
2001-11-08;2001-10-25;boa_esperanca;Qcalc;285.104710405701
2001-11-08;2001-10-26;boa_esperanca;Qcalc;295.037245496698
2001-11-08;2001-10-27;boa_esperanca;Qcalc;293.287983498732
2001-11-08;2001-10-28;boa_esperanca;Qcalc;291.470175968758
2001-11-08;2001-10-29;boa_esperanca;Qcalc;289.611308788642
2001-11-08;2001-10-30;boa_esperanca;Qcalc;287.75519498376
2001-11-08;2001-10-31;boa_esperanca;Qcalc;285.924781110192
2001-11-08;2001-11-01;boa_esperanca;Qcalc;284.119637930382
2001-11-08;2001-11-02;boa_esperanca;Qcalc;282.339343556475
2001-11-08;2001-11-03;boa_esperanca;Qcalc;284.340323537009
2001-11-08;2001-11-04;boa_esperanca;Qcalc;283.306475315084
2001-11-08;2001-11-05;boa_esperanca;Qcalc;283.025056720723
2001-11-08;2001-11-06;boa_esperanca;Qcalc;281.239038693235
2001-11-08;2001-11-07;boa_esperanca;Qcalc;279.477601787245
2001-12-08;2001-11-07;boa_esperanca;Qcalc;286.683834584662
2001-12-08;2001-11-08;boa_esperanca;Qcalc;285.681500879285
2001-12-08;2001-11-09;boa_esperanca;Qcalc;284.450454024808
2001-12-08;2001-11-10;boa_esperanca;Qcalc;283.233262916612
2001-12-08;2001-11-11;boa_esperanca;Qcalc;282.029703986716
2001-12-08;2001-11-12;boa_esperanca;Qcalc;281.710826348136
2001-12-08;2001-11-13;boa_esperanca;Qcalc;280.609231517671
2001-12-08;2001-11-14;boa_esperanca;Qcalc;279.429003073472
2001-12-08;2001-11-15;boa_esperanca;Qcalc;278.261829386565
2001-12-08;2001-11-16;boa_esperanca;Qcalc;281.224711407132
2001-12-08;2001-11-17;boa_esperanca;Qcalc;306.576677560659
2001-12-08;2001-11-18;boa_esperanca;Qcalc;331.459492494979
2001-12-08;2001-11-19;boa_esperanca;Qcalc;330.100687011153
2001-12-08;2001-11-20;boa_esperanca;Qcalc;339.923536263694
2001-12-08;2001-11-21;boa_esperanca;Qcalc;350.20387421177
2001-12-08;2001-11-22;boa_esperanca;Qcalc;368.481683719549
2001-12-08;2001-11-23;boa_esperanca;Qcalc;371.219594906578
2001-12-08;2001-11-24;boa_esperanca;Qcalc;367.072829879275
2001-12-08;2001-11-25;boa_esperanca;Qcalc;379.283108605568
2001-12-08;2001-11-26;boa_esperanca;Qcalc;406.295300061827
2001-12-08;2001-11-27;boa_esperanca;Qcalc;407.795177011825
2001-12-08;2001-11-28;boa_esperanca;Qcalc;403.230928469491
2001-12-08;2001-11-29;boa_esperanca;Qcalc;401.312580280204
2001-12-08;2001-11-30;boa_esperanca;Qcalc;396.135925439346
2001-12-08;2001-12-01;boa_esperanca;Qcalc;401.601838347378
2001-12-08;2001-12-02;boa_esperanca;Qcalc;416.929540154983
2001-12-08;2001-12-03;boa_esperanca;Qcalc;435.031051506602
2001-12-08;2001-12-04;boa_esperanca;Qcalc;436.868156429651
2001-12-08;2001-12-05;boa_esperanca;Qcalc;491.24267164523
2001-12-08;2001-12-06;boa_esperanca;Qcalc;601.091772035012
2001-12-08;2001-12-07;boa_esperanca;Qcalc;581.960220103064
