data;avermelha;ssimao2;navanhanda;capivara;manso;ita;irape;candonga;dfranc;smesa;pimentalt;colider;baixoig;sobradinho
20/02/2019;3.453471885;3.814702708;3.398707451;3.958389678;4.316114295;4.914544407;5.050301079;4.589146624;5.292145391;4.292875596;4.535224454;4.940303249;4.687057752;5.011465972
21/02/2019;3.931611292;4.200665207;4.132613572;4.615305426;3.577304111;4.610353946;5.047070647;3.503378406;5.640226141;4.638141592;4.020751292;3.441533837;4.590455134;4.940219331
22/02/2019;4.359201458;4.864423688;4.494656241;4.429779614;4.529455083;4.996447162;5.395385733;5.400611215;5.270470926;4.871870347;4.117267542;3.945741141;5.193706374;5.283213435
23/02/2019;5.33965222;5.229651165;5.459530493;5.452313449;4.775357359;5.04320724;5.592470626;5.430730478;5.481046274;4.84870323;3.755494252;4.605066785;4.84640874;5.259126175
24/02/2019;4.904772418;4.953775745;4.923813454;5.081003558;5.184534004;4.101290131;5.888282727;5.619548624;3.742400515;4.577281872;4.505334663;5.085053409;4.617118611;5.01774497
25/02/2019;4.986761412;4.708327389;4.958625021;4.283417452;4.258734205;3.509976439;5.792410005;5.34144363;2.621158885;4.468411999;3.246146425;4.204056538;4.187971701;5.264054034
26/02/2019;4.147250264;4.433602657;3.745637497;2.573872983;3.03314201;3.51588035;4.774095024;4.811817941;3.611244158;4.062188731;3.73191568;3.193203007;2.952435208;4.519103388
27/02/2019;4.334258258;4.642582371;4.119547495;2.706972056;3.338589345;3.954112956;5.202436444;4.80720688;4.268692018;4.297384343;3.582307103;3.110559238;4.006960673;4.72997537
28/02/2019;2.968248393;3.295426059;2.667680157;3.599039481;3.953347483;4.246437725;3.995186561;3.774239301;4.576282978;4.059367423;3.887578278;3.754440254;4.569994141;4.57564062
01/03/2019;3.634160897;4.015457919;3.445957986;4.047079639;4.403214685;5.018989664;4.769775695;4.535376243;4.982615118;3.836128882;3.651326261;4.228969083;5.107020315;4.645300514
02/03/2019;3.451590138;2.757764324;4.077912645;4.481225694;4.275532493;4.536025082;3.976921213;3.46097397;5.171090811;3.144203405;4.232423161;4.372449239;5.06847252;4.023406839
03/03/2019;3.388248062;3.710147157;3.53411468;4.711394758;4.703896975;5.176666246;5.183291659;4.493817097;5.040136378;4.186332562;3.898838775;4.376825508;5.444778676;4.781214947
04/03/2019;3.609815442;3.415240277;3.918155293;4.482825557;4.702619122;4.999893104;5.096576601;4.557296939;5.1921458;3.298504909;4.05994509;4.615745296;4.92592718;4.724510862
05/03/2019;4.22013898;4.23671254;4.318663465;4.732768272;4.451962089;4.696819774;4.82482968;4.40860692;4.462186126;3.578473718;3.378536741;4.020077691;4.979058433;4.430138911
06/03/2019;4.499050506;4.369083092;4.700053444;4.954971435;4.7270114;4.091071868;4.451386561;4.219895034;3.922147715;3.49627619;3.799535306;4.604666242;4.479923979;4.510616799
07/03/2019;4.202636696;3.950070224;3.950958837;4.250305807;4.50852406;3.418344141;5.277364778;4.839319995;4.284840325;4.096783042;4.243972863;4.560639016;3.481564849;5.215819713
08/03/2019;4.520358131;4.718981192;4.745831771;4.290558842;4.953007396;4.061352457;5.355232816;4.854881764;2.48336066;5.271660429;4.667398472;4.838141561;4.422328367;5.195157197
09/03/2019;4.27295936;4.370476758;4.187472984;4.257871361;4.898760061;2.560136962;5.222150215;4.883693465;2.026843843;4.910069232;4.253614848;4.784899792;3.31331544;5.263366141
10/03/2019;4.728087925;4.728810514;4.732258973;4.452778122;4.654804014;3.216447512;4.994319082;4.73145309;3.304821175;4.51975633;4.188663025;5.161184387;3.752801894;4.820911684
11/03/2019;4.073963648;4.479985592;4.149925766;3.778911232;4.657780353;2.936689013;5.07752889;4.236348456;3.826726537;4.145996778;4.149384762;4.485690313;3.435726786;4.878060302
12/03/2019;4.510639609;4.104110616;4.806525583;4.828125319;4.593100777;3.187319095;4.976127576;4.278237384;3.136105133;4.344157018;3.573590472;4.36847358;3.104589699;5.25646604
13/03/2019;4.106237253;4.125640978;4.268148343;4.146936718;4.515894387;3.292104607;5.241992419;4.299824826;3.162566125;4.326041061;3.880584365;4.66577607;3.347196853;5.276493646
14/03/2019;3.892451211;4.382212093;3.82971016;4.000226333;3.885465803;2.945596696;5.338614718;4.530362563;3.982169892;4.489470154;4.422872795;4.202574111;2.539935856;5.265809373
15/03/2019;4.088075766;4.304848093;4.306786126;3.773174051;4.071179049;4.247286027;5.239622743;4.765530637;4.478374111;4.845257183;4.779779649;4.646760192;3.734421735;5.224849581
16/03/2019;4.438814055;4.759558816;4.092412917;3.725452651;4.759943554;3.456935989;4.290322957;3.954838311;4.07883754;4.538968474;4.3552249;4.566221909;3.387418634;4.658764091
17/03/2019;4.098796913;3.805811672;4.211428909;4.107769208;4.547659156;2.864888412;4.595894748;3.793818553;2.186507875;3.779079764;4.1789426;4.622573469;2.821931951;4.658929019
18/03/2019;3.984199439;4.139984709;4.076838314;4.219474222;3.935539092;2.519616525;5.474889699;4.531530741;2.783227811;4.577322608;4.690002792;4.491156517;2.732491506;5.416226904
19/03/2019;4.505533602;4.635000651;4.765703249;3.997149276;5.236976451;3.494857197;5.228099972;4.385929291;3.806210407;4.689211023;4.843501397;4.884485937;3.749464101;5.166742945
20/03/2019;3.772099731;3.788735112;4.160035918;3.937761434;4.291768999;2.974253855;4.28345507;4.043191939;2.607495989;3.751027204;4.046722943;4.246861893;2.67097702;4.379874509
21/03/2019;3.540911247;4.079546313;3.360425052;3.061531087;3.588827676;2.560828039;3.048639364;2.958245439;2.989817297;4.073341353;4.292803326;4.057664611;3.453334704;3.831298997
22/03/2019;3.908170575;3.713753284;3.993100734;4.000692284;3.852001956;3.27980738;3.019879714;1.889362497;4.021461715;3.793291774;3.864391703;4.399345601;3.677267598;4.092140062
23/03/2019;4.270454095;4.198434134;4.484399002;4.739556765;4.52290638;3.862778122;3.33313301;3.417228862;4.161942553;3.967013529;3.505055575;3.736256823;4.010802539;3.220652955
24/03/2019;4.315981377;4.251846011;4.39626094;4.593715666;4.928637451;3.973627598;3.465821762;4.087913705;4.359851658;3.58215478;3.798549811;4.446164156;4.103404372;3.566662213
25/03/2019;4.396216283;4.38937217;4.575325533;4.753044773;5.003102091;3.901041316;4.344432968;4.258807066;3.292726945;3.916665832;3.005850273;4.31988728;3.941958586;3.658456651
26/03/2019;4.609452932;4.366832843;4.733254597;4.671479416;4.34178256;3.762272473;3.536810763;4.433922145;3.515754395;3.028277748;3.729053397;3.46296935;4.123492211;3.339032345
27/03/2019;4.408601027;3.769602928;4.452545094;4.446930829;2.997674025;3.384347303;3.928545379;4.316826942;3.233009239;3.051680843;3.756968754;2.615532108;4.168172223;4.001803294
28/03/2019;4.37561243;3.701253345;4.569325442;4.2247104;3.772763188;3.421833093;4.1254493;3.91482006;3.576426558;3.869960099;3.948152568;3.843648832;3.747207778;4.099193254
29/03/2019;4.460930648;4.426572579;4.395342092;4.39751127;3.460434413;3.516311296;3.78253129;3.29931003;3.827004126;4.008610446;3.753085049;3.717017483;3.856725121;4.397818037
30/03/2019;4.668226873;4.780212581;4.602433195;4.504440895;4.554163446;4.084283881;4.0901693;3.809684613;4.290082296;4.477165343;3.855914831;4.54254565;4.041568247;4.347923151
31/03/2019;4.647714701;4.487864284;4.598519903;4.482343306;4.873532333;3.608397989;4.157433309;3.962995046;3.508668197;4.522442224;4.267334923;4.892742098;3.954133398;4.61620764
01/04/2019;4.722671684;4.470170253;4.423601251;4.401915226;4.081762098;3.905902341;4.44445502;3.737193751;3.850246577;4.312033034;4.31891005;4.370209708;4.063934661;4.509203047
02/04/2019;4.722410601;4.622226332;4.518828173;3.950127307;4.800490605;3.604114629;4.70341936;3.876118111;4.104584222;4.278662129;4.196723276;4.662373039;2.950148363;4.673251466
