data;AVERMELHA;SSIMAO2;NAvanhanda;Capivara;Manso;Ita;IRAPE;Candonga;DFRANC;Smesa;PimentalT;Colider;BaixoIg;SOBRADINHO
20/05/1999;3.401650049;3.556230795;3.05285845;2.752060863;4.176044464;0.870279468;3.877673792;3.617902152;1.261474122;4.122929389;3.263666953;4.378107692;1.554016718;3.688690636
21/05/1999;2.705098142;3.145347772;2.486832445;2.300680925;3.856533051;1.645033039;3.62561216;3.053132069;1.547292993;3.971394284;3.271311606;4.208153804;2.054746269;3.841735037
22/05/1999;2.810212166;3.030879082;2.712327943;2.396611387;3.40202713;1.925130625;3.148762117;2.687784316;1.681397296;3.898877641;3.211807005;3.969103195;2.075579351;3.969681232
23/05/1999;2.872648834;3.207330934;2.650496657;2.342231287;3.572707748;1.846092099;2.051779062;2.617249501;1.701201419;3.781240257;3.062830279;3.817188978;1.964739507;3.632325398
24/05/1999;3.230802803;3.515983366;2.841360719;2.238827107;3.883952332;1.115505781;2.866070331;2.88324303;1.24861356;3.618889607;3.079993956;3.802279865;1.183503179;3.508657265
25/05/1999;3.662167785;3.621224293;3.304523106;2.246838774;4.383600616;1.777176028;3.582340947;2.400699277;1.705756005;4.026692708;3.010003367;4.114653925;0.910625949;4.416032919
26/05/1999;4.071225402;4.202181701;3.549326876;2.507118627;3.690821838;1.04749048;3.014742929;2.441320878;0.632734786;4.314743973;3.326784688;3.667622591;1.212054111;4.022594308
27/05/1999;3.378551196;3.235872166;2.849694913;1.812634302;2.785730171;1.511422955;3.143483932;2.928817363;1.535668556;4.102254232;3.689043845;3.487173119;2.086314437;3.78956873
28/05/1999;3.333125617;3.991641479;3.048449885;2.535149825;4.256122971;1.644988263;3.064818432;2.607890262;0.737566278;4.125542439;3.6751645;4.090497371;2.037113907;3.781272272
29/05/1999;3.751712922;3.585471185;3.522372058;2.759646767;3.364681244;0.694447564;3.001811162;2.174235284;1.109845588;3.215516569;3.381394909;3.526310901;0.824133996;3.740498495
30/05/1999;3.002316711;2.871553789;3.102896363;2.468902217;2.552245712;1.30751763;3.596712692;3.056251043;1.588396275;3.129221455;3.670889331;3.159330604;1.280713676;3.677181767
31/05/1999;2.68654165;2.937661296;2.725364518;2.403073207;3.535126495;1.492374733;3.247133608;2.731439711;1.015223077;3.513319418;3.50322305;3.880826307;1.794853437;3.765129251
01/06/1999;2.75630106;2.967413816;2.642813355;2.267555391;3.39470253;1.813157129;2.285506863;1.491795117;1.656477746;3.43935054;3.548359286;3.746000526;1.928528134;3.858233625
02/06/1999;2.726021715;2.957795052;2.571281934;2.3615352;3.444841003;1.945087996;2.664518455;1.996860939;1.499604245;3.353933988;3.84700086;3.850820932;1.94880359;3.920366005
03/06/1999;3.017810452;2.90393035;2.770231595;2.287862554;3.541597366;1.083110747;2.800874159;2.459459715;1.272666363;3.483187537;3.400437632;3.601905845;1.105675121;3.790355063
04/06/1999;2.889983803;2.720947266;2.708341501;1.817271368;3.679595947;1.341255438;3.196167218;2.7479503;1.430004363;3.428592306;3.507725377;3.543955514;1.810977143;3.740870045
05/06/1999;2.79932461;2.85622408;2.697135981;1.918263794;3.284789276;1.423442778;3.112035907;2.459564788;1.437462989;3.314014703;3.263818556;3.353977874;1.572450241;3.827336833
06/06/1999;2.798114407;2.977903077;2.291870117;1.337192057;3.16833725;1.294970403;3.188507758;2.439953961;1.435995873;3.255204608;3.35386387;3.540473168;1.749351879;3.808402735
07/06/1999;2.73340057;2.840052744;2.381864896;1.685358951;3.107954216;1.358079629;3.286720106;0.718805965;1.371151052;3.651575796;3.391422887;3.594400455;1.575032754;4.057887334
08/06/1999;3.213692942;3.58002164;2.770406236;2.235539363;3.650588989;1.785315842;2.702193649;1.623806531;1.804569975;4.410988391;3.594754127;3.911493395;1.272819292;3.698393375
09/06/1999;3.97802439;4.092073651;3.420344666;2.704552037;3.924394226;1.065212187;2.163123689;1.728836639;0.866110132;4.417222001;3.56487348;4.026712291;1.201948034;3.358182268
10/06/1999;3.385466217;3.384968343;3.100028156;1.273088092;3.116611481;1.033735056;2.070269097;2.159653676;1.444692896;3.533678798;3.717371048;3.681302557;1.25391048;3.102822572
11/06/1999;2.389170165;3.005152999;2.010594277;2.022177878;3.378760147;1.690123636;2.833945041;2.449340048;1.542471541;3.825717407;3.884473739;3.81002834;1.851559478;3.50873954
12/06/1999;3.227457026;3.434718429;2.846728694;1.388827058;3.716271973;0.389325627;2.774749078;1.514389521;0.295775779;3.798165621;3.625547348;4.197796824;0.899900531;3.80107262
13/06/1999;2.968478951;3.128710749;2.21995021;1.006185987;2.677249718;0.917168289;2.016683847;1.712548558;1.490673146;3.64641417;3.470573179;3.290667355;0.556459635;3.875756725
14/06/1999;2.723436909;3.200709012;1.821472279;0.710035687;3.11726265;1.304417469;2.674699571;1.373140263;1.451518931;3.436913146;3.680090135;3.314362716;1.114748587;3.481050705
15/06/1999;2.007594775;2.434758282;1.710669747;1.033859315;3.377883911;1.454679395;2.596854655;1.563996134;1.386235014;3.071524607;3.729762662;3.603435417;1.299529727;3.473503111
16/06/1999;2.555891468;2.750577402;2.372815209;2.016390163;3.453443146;1.573900692;2.621417914;1.935973542;1.408201177;3.053831289;3.975469282;4.041856397;1.164932855;3.54583529
17/06/1999;3.127071914;3.166408509;2.597432826;1.89983093;4.17542572;0.606275527;2.898755787;2.425058679;0.637101884;3.30818341;4.085872527;4.215081207;0.773692745;3.396795135
18/06/1999;2.973627562;2.906913071;2.701064729;2.267460997;3.790245056;0.357960998;3.053826678;2.031035218;0.781578145;3.298456183;3.545399327;3.829785086;0.140912509;3.765642294
19/06/1999;3.04728026;3.257528192;2.520512268;0.514127291;3.155865097;1.079676018;2.809708659;2.287345597;0.996859774;3.191578753;3.305487356;3.171601661;1.115141463;3.557696319
20/06/1999;0.878467847;2.570967098;0.31616495;0.369234711;2.919159698;0.741484157;3.162590422;1.959961903;1.599368968;3.204619645;2.953367172;3.063345697;0.521256022;3.726015918
21/06/1999;1.805798931;2.543073561;1.546007477;1.223815177;2.985232925;1.164648087;2.732961697;1.915609432;1.424788617;3.24257205;3.252984324;3.294194378;0.925186006;3.598632288
22/06/1999;2.518606206;2.878021005;2.183098341;1.867571503;3.32261734;1.624671936;2.689343488;2.691596309;1.464561949;3.307543258;3.418858928;3.390152901;1.562007791;3.59041601
23/06/1999;2.679549515;2.997649597;2.33607249;2.053486442;3.497370911;1.830743258;2.724604854;2.445871474;1.173190097;3.441272718;3.267973377;3.422686926;1.723507721;3.550915406
24/06/1999;2.827640657;3.021565337;2.522542021;2.243536204;3.953575516;0.802063363;2.357200792;1.333674564;0.757386877;3.552715463;3.223838806;3.79855162;0.906499504;3.612108432
25/06/1999;3.210993285;3.400565101;2.727643981;1.743881658;3.930953217;0.917430815;2.594904695;2.2387112;1.419363144;3.514407449;3.533068257;3.832339064;1.015806897;3.923769432
26/06/1999;3.487985919;3.645799965;2.94292901;2.256956525;3.930177307;1.729489311;3.234481698;2.502875026;1.82907137;3.947579684;3.154054211;3.961962609;1.967751682;4.293767136
27/06/1999;3.427387197;3.716286;2.820283542;2.19959361;3.717300797;1.977884011;2.365760182;1.848990525;1.949327509;4.111035844;3.223111553;3.55841856;2.147425283;4.193577117
28/06/1999;3.750923403;3.67224278;3.085433626;2.44149076;4.081359863;2.420714331;2.953758409;2.449198662;2.112131971;3.679105803;3.796358908;3.89996848;2.524415573;3.746740425
29/06/1999;4.13715059;3.695926303;3.162929117;1.515699626;2.528048515;1.183255055;2.958303042;3.117591182;1.047745157;3.445000734;3.744481733;3.352605199;1.125029838;3.736100688
30/06/1999;1.573230046;2.312875939;1.929170706;1.949027366;1.854073143;1.440654692;3.053006547;2.360361027;1.096489196;2.903099956;3.589879682;2.954757295;1.758950564;3.721135988
01/07/1999;2.75013897;2.829406895;2.733281268;2.101219764;3.311904526;1.804401835;2.297595215;0.960705818;1.688004514;3.926149753;3.927600984;3.843262422;1.131263355;4.248492053
02/07/1999;3.638832995;4.00484139;3.14914876;2.392001874;4.169972229;0.670589384;2.223936406;1.408654322;0.719195508;4.257098131;4.112527663;3.782226211;0.919427551;3.397167209
03/07/1999;4.006454632;3.716379514;3.602333904;2.383158942;3.865063477;0.356618068;2.740806749;2.729848934;0.291433192;3.465582763;3.900537798;3.644361688;0.527715098;3.144651257
04/07/1999;3.501671576;3.170691326;2.757082306;1.017438078;2.562847328;0.749056644;2.181103064;2.834922887;1.33081217;3.200793342;4.101971042;3.686034453;0.361236119;3.368232975
05/07/1999;2.175515452;2.169953099;1.930672082;0.365428909;2.784148598;1.289003466;3.214486129;1.801840287;1.202944979;3.041164344;3.757249648;3.529933611;0.73920131;3.894358314
06/07/1999;2.310718167;3.08108952;2.210792709;1.375469995;2.89500103;0.852721105;2.209118652;1.190853457;1.077483482;4.044080278;4.268836729;3.562880634;0.477768095;3.856989274
07/07/1999;2.743280554;3.523485198;1.890036924;1.399641647;3.166154861;1.176353204;3.01273329;2.234048192;1.243008472;4.076059834;4.445162865;3.912679271;1.630482287;3.428621063
08/07/1999;2.701042257;3.263048657;2.295303679;1.856870582;2.888847923;1.27046904;3.068400743;2.560504962;1.02054807;3.647672985;4.035443952;3.845879722;1.720586191;3.30820019
09/07/1999;2.631143714;3.038603716;2.426619258;2.05042097;3.419919586;1.741472338;3.268721065;2.412784818;1.392019394;3.269018899;3.880752071;3.80803089;1.603574394;3.568117265
10/07/1999;3.204972462;3.212245441;2.939454016;2.280300125;3.571059799;1.999022062;3.05754824;1.066163075;1.996537716;3.975364721;3.865729055;3.945831739;2.248731859;3.913110306
